R,threshold,one-prob,
2,0.1,1,
,,999,TRUE
2,0.2,1,
,,999,TRUE
2,0.3,1,
,,999,TRUE
2,0.4,0.999,
,,999,TRUE
2,0.5,0,
,,999,TRUE
2,0.6,0,
,,999,TRUE
2,0.7,0,
,,999,TRUE
2,0.8,0,
,,999,TRUE
2,0.9,0,
,,999,TRUE
2,1,0,
,,999,TRUE
3.1,0.1,1,
,,999,TRUE
3.1,0.2,1,
,,999,TRUE
3.1,0.3,1,
,,999,TRUE
3.1,0.4,1,
,,999,TRUE
3.1,0.5,0.999,
,,999,TRUE
3.1,0.6,0.5,
,,999,TRUE
3.1,0.7,0.5,
,,999,TRUE
3.1,0.8,0,
,,999,TRUE
3.1,0.9,0,
,,999,TRUE
3.1,1,0,
,,999,TRUE
3.49,0.1,1,
,,999,TRUE
3.49,0.2,1,
,,999,TRUE
3.49,0.3,1,
,,999,TRUE
3.49,0.4,0.754,
,,999,TRUE
3.49,0.5,0.501,
,,999,TRUE
3.49,0.6,0.5,
,,999,TRUE
3.49,0.7,0.5,
,,999,TRUE
3.49,0.8,0.5,
,,999,TRUE
3.49,0.9,0,
,,999,TRUE
3.49,1,0,
,,999,TRUE
3.52,0.1,1,
,,999,TRUE
3.52,0.2,1,
,,999,TRUE
3.52,0.3,1,
,,999,TRUE
3.52,0.4,0.751,
,,999,TRUE
3.52,0.5,0.747,
,,999,TRUE
3.52,0.6,0.5,
,,999,TRUE
3.52,0.7,0.5,
,,999,TRUE
3.52,0.8,0.5,
,,999,TRUE
3.52,0.9,0,
,,999,TRUE
3.52,1,0,
,,999,TRUE
4,0.1,0.788,
,,999,TRUE
4,0.2,0.698,
,,999,TRUE
4,0.3,0.622,
,,999,TRUE
4,0.4,0.567,
,,999,TRUE
4,0.5,0.515,
,,999,TRUE
4,0.6,0.439,
,,999,TRUE
4,0.7,0.371,
,,999,TRUE
4,0.8,0.292,
,,999,TRUE
4,0.9,0.199,
,,999,TRUE
4,1,0,
,,,
